,Ticket,Date,Resultat_net,BNPA,PER,Dividende,Description,Profile_Téléphone_,Profile_Adresse_,Profile_Dirigeants_,Profile_Nombre_de_titres_,Profile_Valorisation_de_la_société_,Company_Name,Pays,Secteur
10,BOA BF,2020,18511,841.43,7.72,370,"BOA BURKINA est une filiale du groupe BOA. Elle a été mis en place en 1998 (après les filiales du Mali, du Bénin, du Niger et de la Côte d'Ivoire). BOA BURKINA est l'un des grands acteurs du pays. En tant que banque commerciale, elle est profondément impliquée dans le financement de l'économie burkinabé. Malgré une forte intensité concurrentielle dans le secteur bancaire, BOA BF s’impose comme l’un des acteurs majeurs de la place bancaire burkinabé avec un total bilan de 757 milliards de FCFA. Au 31 décembre 2017, la Banque présentait un total dépôt de la clientèle de près de 524 milliards de F CFA, plus de 366 197 comptes, répartis sur un réseau de 50 agences.",(226) 25 30 88 70 à 73,"770, Avenue du Président Aboubakar Sangoulé Lamizana 01 BP 1319 Ouagad  Ouagadougou",Faustin AMOUSSOU,22 000 000,143 220 MFCFA,Bank of Africa Burkina Faso,Burkina Faso,Banque
11,BOA BF,2021,17608,800.36,8.12,370,"BOA BURKINA est une filiale du groupe BOA. Elle a été mis en place en 1998 (après les filiales du Mali, du Bénin, du Niger et de la Côte d'Ivoire). BOA BURKINA est l'un des grands acteurs du pays. En tant que banque commerciale, elle est profondément impliquée dans le financement de l'économie burkinabé. Malgré une forte intensité concurrentielle dans le secteur bancaire, BOA BF s’impose comme l’un des acteurs majeurs de la place bancaire burkinabé avec un total bilan de 757 milliards de FCFA. Au 31 décembre 2017, la Banque présentait un total dépôt de la clientèle de près de 524 milliards de F CFA, plus de 366 197 comptes, répartis sur un réseau de 50 agences.",(226) 25 30 88 70 à 73,"770, Avenue du Président Aboubakar Sangoulé Lamizana 01 BP 1319 Ouagad  Ouagadougou",Faustin AMOUSSOU,22 000 000,143 220 MFCFA,Bank of Africa Burkina Faso,Burkina Faso,Banque
12,BOA BF,2022,21245,965.67,6.73,448,"BOA BURKINA est une filiale du groupe BOA. Elle a été mis en place en 1998 (après les filiales du Mali, du Bénin, du Niger et de la Côte d'Ivoire). BOA BURKINA est l'un des grands acteurs du pays. En tant que banque commerciale, elle est profondément impliquée dans le financement de l'économie burkinabé. Malgré une forte intensité concurrentielle dans le secteur bancaire, BOA BF s’impose comme l’un des acteurs majeurs de la place bancaire burkinabé avec un total bilan de 757 milliards de FCFA. Au 31 décembre 2017, la Banque présentait un total dépôt de la clientèle de près de 524 milliards de F CFA, plus de 366 197 comptes, répartis sur un réseau de 50 agences.",(226) 25 30 88 70 à 73,"770, Avenue du Président Aboubakar Sangoulé Lamizana 01 BP 1319 Ouagad  Ouagadougou",Faustin AMOUSSOU,22 000 000,143 220 MFCFA,Bank of Africa Burkina Faso,Burkina Faso,Banque
13,BOA BF,2023,25477,1158.0,5.61,577,"BOA BURKINA est une filiale du groupe BOA. Elle a été mis en place en 1998 (après les filiales du Mali, du Bénin, du Niger et de la Côte d'Ivoire). BOA BURKINA est l'un des grands acteurs du pays. En tant que banque commerciale, elle est profondément impliquée dans le financement de l'économie burkinabé. Malgré une forte intensité concurrentielle dans le secteur bancaire, BOA BF s’impose comme l’un des acteurs majeurs de la place bancaire burkinabé avec un total bilan de 757 milliards de FCFA. Au 31 décembre 2017, la Banque présentait un total dépôt de la clientèle de près de 524 milliards de F CFA, plus de 366 197 comptes, répartis sur un réseau de 50 agences.",(226) 25 30 88 70 à 73,"770, Avenue du Président Aboubakar Sangoulé Lamizana 01 BP 1319 Ouagad  Ouagadougou",Faustin AMOUSSOU,22 000 000,143 220 MFCFA,Bank of Africa Burkina Faso,Burkina Faso,Banque
14,BOA BF,2024,29063,1321.0,4.92,704,"BOA BURKINA est une filiale du groupe BOA. Elle a été mis en place en 1998 (après les filiales du Mali, du Bénin, du Niger et de la Côte d'Ivoire). BOA BURKINA est l'un des grands acteurs du pays. En tant que banque commerciale, elle est profondément impliquée dans le financement de l'économie burkinabé. Malgré une forte intensité concurrentielle dans le secteur bancaire, BOA BF s’impose comme l’un des acteurs majeurs de la place bancaire burkinabé avec un total bilan de 757 milliards de FCFA. Au 31 décembre 2017, la Banque présentait un total dépôt de la clientèle de près de 524 milliards de F CFA, plus de 366 197 comptes, répartis sur un réseau de 50 agences.",(226) 25 30 88 70 à 73,"770, Avenue du Président Aboubakar Sangoulé Lamizana 01 BP 1319 Ouagad  Ouagadougou",Faustin AMOUSSOU,22 000 000,143 220 MFCFA,Bank of Africa Burkina Faso,Burkina Faso,Banque
15,BOA BN,2020,15002,739.71,9.11,436,"BANK OF AFRICA BENIN, est une filiale du groupe BOA, ouverte au public en janvier 1990. Elle est la seule banque et la seule entreprise béninoise cotée en bourse à la Bourse Régionale des Valeurs Mobilière (BRVM). Leader du secteur bancaire du Bénin en termes de total d'actif  suivie par Ecobank et Diamond Bank. Elle est profondément impliquée dans le financement de l'économie béninoise, en particulier les activités agricoles et portuaires. En fin 2017, la banque affichait un total bilan de 975 milliards FCFA, un total dépôt de la clientèle de 540 milliards FCFA, repartis sur un réseau de plus de 45 agences.",300,BANK OF AFRICA – Av. Jean Paul II 08 BP 0879 – Cotonou – BÉNIN COTONOU,Sadio CISSE,20 280 524,139 936 MFCFA,Bank of Africa Benin,Bénin,Banque
16,BOA BN,2021,13312,656.39,10.27,436,"BANK OF AFRICA BENIN, est une filiale du groupe BOA, ouverte au public en janvier 1990. Elle est la seule banque et la seule entreprise béninoise cotée en bourse à la Bourse Régionale des Valeurs Mobilière (BRVM). Leader du secteur bancaire du Bénin en termes de total d'actif  suivie par Ecobank et Diamond Bank. Elle est profondément impliquée dans le financement de l'économie béninoise, en particulier les activités agricoles et portuaires. En fin 2017, la banque affichait un total bilan de 975 milliards FCFA, un total dépôt de la clientèle de 540 milliards FCFA, repartis sur un réseau de plus de 45 agences.",300,BANK OF AFRICA – Av. Jean Paul II 08 BP 0879 – Cotonou – BÉNIN COTONOU,Sadio CISSE,20 280 524,139 936 MFCFA,Bank of Africa Benin,Bénin,Banque
17,BOA BN,2022,16664,656.39,10.27,546,"BANK OF AFRICA BENIN, est une filiale du groupe BOA, ouverte au public en janvier 1990. Elle est la seule banque et la seule entreprise béninoise cotée en bourse à la Bourse Régionale des Valeurs Mobilière (BRVM). Leader du secteur bancaire du Bénin en termes de total d'actif  suivie par Ecobank et Diamond Bank. Elle est profondément impliquée dans le financement de l'économie béninoise, en particulier les activités agricoles et portuaires. En fin 2017, la banque affichait un total bilan de 975 milliards FCFA, un total dépôt de la clientèle de 540 milliards FCFA, repartis sur un réseau de plus de 45 agences.",300,BANK OF AFRICA – Av. Jean Paul II 08 BP 0879 – Cotonou – BÉNIN COTONOU,Sadio CISSE,20 280 524,139 936 MFCFA,Bank of Africa Benin,Bénin,Banque
18,BOA BN,2023,19143,943.92,7.14,627,"BANK OF AFRICA BENIN, est une filiale du groupe BOA, ouverte au public en janvier 1990. Elle est la seule banque et la seule entreprise béninoise cotée en bourse à la Bourse Régionale des Valeurs Mobilière (BRVM). Leader du secteur bancaire du Bénin en termes de total d'actif  suivie par Ecobank et Diamond Bank. Elle est profondément impliquée dans le financement de l'économie béninoise, en particulier les activités agricoles et portuaires. En fin 2017, la banque affichait un total bilan de 975 milliards FCFA, un total dépôt de la clientèle de 540 milliards FCFA, repartis sur un réseau de plus de 45 agences.",300,BANK OF AFRICA – Av. Jean Paul II 08 BP 0879 – Cotonou – BÉNIN COTONOU,Sadio CISSE,20 280 524,139 936 MFCFA,Bank of Africa Benin,Bénin,Banque
19,BOA BN,2024,21529,1061.55,6.35,706,"BANK OF AFRICA BENIN, est une filiale du groupe BOA, ouverte au public en janvier 1990. Elle est la seule banque et la seule entreprise béninoise cotée en bourse à la Bourse Régionale des Valeurs Mobilière (BRVM). Leader du secteur bancaire du Bénin en termes de total d'actif  suivie par Ecobank et Diamond Bank. Elle est profondément impliquée dans le financement de l'économie béninoise, en particulier les activités agricoles et portuaires. En fin 2017, la banque affichait un total bilan de 975 milliards FCFA, un total dépôt de la clientèle de 540 milliards FCFA, repartis sur un réseau de plus de 45 agences.",300,BANK OF AFRICA – Av. Jean Paul II 08 BP 0879 – Cotonou – BÉNIN COTONOU,Sadio CISSE,20 280 524,139 936 MFCFA,Bank of Africa Benin,Bénin,Banque
20,BOA CI,2020,14382,719.11,980.0,31500,"BOA CI est une filiale du groupe BOA. Elle a été ouverte en 1996 (après les filiales du Mali, du Bénin et du Niger). À la fin décembre 2017, la banque affichait un total bilan de 762 milliards FCFA et un total dépôt de la clientèle de 379 milliards FCFA, ce qui la positionne à la 8ème place en termes de prêts à la clientèle avec environ 6% de part de marché.Comme les autres banques du Groupe BOA, BOA  COTE D'IVOIRE est une banque commerciale universelle intervenant sur les marchés Retail et Corporate.",(225) 20 30 34 00,"BANK OF AFRICA - CÔTE D’IVOIRE Abidjan Plateau, Angle Avenue Terrasson 01 BP 4132 – Abidjan 01 – CÔTE D’IVOIRE Abidjan",Redouane TOUBI Managing DirectorLala Moulaye Ezzedine ChairmanRichard Kouakou         Director-Finance Department,20 000 000,139 700 MFCFA,Bank of Africa Cote Ivoire,Cote Ivoire,Banque
21,BOA CI,2021,14216,710.8,992.0,31500,"BOA CI est une filiale du groupe BOA. Elle a été ouverte en 1996 (après les filiales du Mali, du Bénin et du Niger). À la fin décembre 2017, la banque affichait un total bilan de 762 milliards FCFA et un total dépôt de la clientèle de 379 milliards FCFA, ce qui la positionne à la 8ème place en termes de prêts à la clientèle avec environ 6% de part de marché.Comme les autres banques du Groupe BOA, BOA  COTE D'IVOIRE est une banque commerciale universelle intervenant sur les marchés Retail et Corporate.",(225) 20 30 34 00,"BANK OF AFRICA - CÔTE D’IVOIRE Abidjan Plateau, Angle Avenue Terrasson 01 BP 4132 – Abidjan 01 – CÔTE D’IVOIRE Abidjan",Redouane TOUBI Managing DirectorLala Moulaye Ezzedine ChairmanRichard Kouakou         Director-Finance Department,20 000 000,139 700 MFCFA,Bank of Africa Cote Ivoire,Cote Ivoire,Banque
22,BOA CI,2022,16638,831.9,847.0,37400,"BOA CI est une filiale du groupe BOA. Elle a été ouverte en 1996 (après les filiales du Mali, du Bénin et du Niger). À la fin décembre 2017, la banque affichait un total bilan de 762 milliards FCFA et un total dépôt de la clientèle de 379 milliards FCFA, ce qui la positionne à la 8ème place en termes de prêts à la clientèle avec environ 6% de part de marché.Comme les autres banques du Groupe BOA, BOA  COTE D'IVOIRE est une banque commerciale universelle intervenant sur les marchés Retail et Corporate.",(225) 20 30 34 00,"BANK OF AFRICA - CÔTE D’IVOIRE Abidjan Plateau, Angle Avenue Terrasson 01 BP 4132 – Abidjan 01 – CÔTE D’IVOIRE Abidjan",Redouane TOUBI Managing DirectorLala Moulaye Ezzedine ChairmanRichard Kouakou         Director-Finance Department,20 000 000,139 700 MFCFA,Bank of Africa Cote Ivoire,Cote Ivoire,Banque
23,BOA CI,2023,20069,1003.45,703.0,54000,"BOA CI est une filiale du groupe BOA. Elle a été ouverte en 1996 (après les filiales du Mali, du Bénin et du Niger). À la fin décembre 2017, la banque affichait un total bilan de 762 milliards FCFA et un total dépôt de la clientèle de 379 milliards FCFA, ce qui la positionne à la 8ème place en termes de prêts à la clientèle avec environ 6% de part de marché.Comme les autres banques du Groupe BOA, BOA  COTE D'IVOIRE est une banque commerciale universelle intervenant sur les marchés Retail et Corporate.",(225) 20 30 34 00,"BANK OF AFRICA - CÔTE D’IVOIRE Abidjan Plateau, Angle Avenue Terrasson 01 BP 4132 – Abidjan 01 – CÔTE D’IVOIRE Abidjan",Redouane TOUBI Managing DirectorLala Moulaye Ezzedine ChairmanRichard Kouakou         Director-Finance Department,20 000 000,139 700 MFCFA,Bank of Africa Cote Ivoire,Cote Ivoire,Banque
24,BOA CI,2024,26075,1340.0,526.0,68400,"BOA CI est une filiale du groupe BOA. Elle a été ouverte en 1996 (après les filiales du Mali, du Bénin et du Niger). À la fin décembre 2017, la banque affichait un total bilan de 762 milliards FCFA et un total dépôt de la clientèle de 379 milliards FCFA, ce qui la positionne à la 8ème place en termes de prêts à la clientèle avec environ 6% de part de marché.Comme les autres banques du Groupe BOA, BOA  COTE D'IVOIRE est une banque commerciale universelle intervenant sur les marchés Retail et Corporate.",(225) 20 30 34 00,"BANK OF AFRICA - CÔTE D’IVOIRE Abidjan Plateau, Angle Avenue Terrasson 01 BP 4132 – Abidjan 01 – CÔTE D’IVOIRE Abidjan",Redouane TOUBI Managing DirectorLala Moulaye Ezzedine ChairmanRichard Kouakou         Director-Finance Department,20 000 000,139 700 MFCFA,Bank of Africa Cote Ivoire,Cote Ivoire,Banque
25,BOA ML,2020,-6987,0.0,0.0,0,"BANK OF AFRICA - MALI (BOA-MALI), ouverte au public en janvier 1982, détient actuellement un capital de 15,45 milliards FCFA. Selon les statistiques de décembre 2017, la banque se hisse au quatrième rang en total bilan avec 457 milliards FCFA, derrière BMS-SA (724 milliards FCFA), BDM-SA (708 milliards FCFA) et Ecobank (534 miliards FCFA). BOA-MALI fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) fin mai 2016, et devient la 1ère entreprise et banque malienne cotée en bourse.",(223) 20 70 05 00 /44 97 59 00,"BANK OF AFRICA au Mali 418, Avenue de la Marne – BP 2249 – Bozola – Ba BP 2249 Bamako",Georges NABI,18 300 000,29 829 MFCFA,Bank of Africa Mali,Mali,Banque
26,BOA ML,2021,528,28.87,54.73,0,"BANK OF AFRICA - MALI (BOA-MALI), ouverte au public en janvier 1982, détient actuellement un capital de 15,45 milliards FCFA. Selon les statistiques de décembre 2017, la banque se hisse au quatrième rang en total bilan avec 457 milliards FCFA, derrière BMS-SA (724 milliards FCFA), BDM-SA (708 milliards FCFA) et Ecobank (534 miliards FCFA). BOA-MALI fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) fin mai 2016, et devient la 1ère entreprise et banque malienne cotée en bourse.",(223) 20 70 05 00 /44 97 59 00,"BANK OF AFRICA au Mali 418, Avenue de la Marne – BP 2249 – Bozola – Ba BP 2249 Bamako",Georges NABI,18 300 000,29 829 MFCFA,Bank of Africa Mali,Mali,Banque
27,BOA ML,2022,2095,114.5,13.8,0,"BANK OF AFRICA - MALI (BOA-MALI), ouverte au public en janvier 1982, détient actuellement un capital de 15,45 milliards FCFA. Selon les statistiques de décembre 2017, la banque se hisse au quatrième rang en total bilan avec 457 milliards FCFA, derrière BMS-SA (724 milliards FCFA), BDM-SA (708 milliards FCFA) et Ecobank (534 miliards FCFA). BOA-MALI fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) fin mai 2016, et devient la 1ère entreprise et banque malienne cotée en bourse.",(223) 20 70 05 00 /44 97 59 00,"BANK OF AFRICA au Mali 418, Avenue de la Marne – BP 2249 – Bozola – Ba BP 2249 Bamako",Georges NABI,18 300 000,29 829 MFCFA,Bank of Africa Mali,Mali,Banque
28,BOA ML,2023,2461,135.0,11.7,0,"BANK OF AFRICA - MALI (BOA-MALI), ouverte au public en janvier 1982, détient actuellement un capital de 15,45 milliards FCFA. Selon les statistiques de décembre 2017, la banque se hisse au quatrième rang en total bilan avec 457 milliards FCFA, derrière BMS-SA (724 milliards FCFA), BDM-SA (708 milliards FCFA) et Ecobank (534 miliards FCFA). BOA-MALI fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) fin mai 2016, et devient la 1ère entreprise et banque malienne cotée en bourse.",(223) 20 70 05 00 /44 97 59 00,"BANK OF AFRICA au Mali 418, Avenue de la Marne – BP 2249 – Bozola – Ba BP 2249 Bamako",Georges NABI,18 300 000,29 829 MFCFA,Bank of Africa Mali,Mali,Banque
29,BOA ML,2024,5778,316.0,5.0,144,"BANK OF AFRICA - MALI (BOA-MALI), ouverte au public en janvier 1982, détient actuellement un capital de 15,45 milliards FCFA. Selon les statistiques de décembre 2017, la banque se hisse au quatrième rang en total bilan avec 457 milliards FCFA, derrière BMS-SA (724 milliards FCFA), BDM-SA (708 milliards FCFA) et Ecobank (534 miliards FCFA). BOA-MALI fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) fin mai 2016, et devient la 1ère entreprise et banque malienne cotée en bourse.",(223) 20 70 05 00 /44 97 59 00,"BANK OF AFRICA au Mali 418, Avenue de la Marne – BP 2249 – Bozola – Ba BP 2249 Bamako",Georges NABI,18 300 000,29 829 MFCFA,Bank of Africa Mali,Mali,Banque
30,BOA NG,2020,8503,654.0,8.23,430,"BANK OF AFRICA - NIGER (BOA-NIGER) est issue d’une reprise des activités de la NIGERIA INTERNATIONAL BANK (NIB, banque affiliée à la CITIBANK) par le Groupe BANK OF AFRICA. Ouverte au public le 25 avril 1994 sous la forme de Société Anonyme avec Conseil d’Administration, elle détient actuellement un capital de 10 milliards de F CFA. BOA-NIGER fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) en décembre 2003 et est à ce jour la seule Banque nigérienne cotée en bourse. Elle affiche un total bilan de 295 milliards FCFA et un total dépôt 157 milliards FCFA pour 28 agences.",(227) 20 73 36 20/ 21 / 20 73 32 46,BANK OF AFRICA – Immeuble BANK OF AFRICA au  Niger – Rue du Gawèye BP 10973 – Niamey – Niger Niamey,Boureima Wankoye,13 000 000,70 395 MFCFA,Bank of Africa Niger,Niger,Banque
31,BOA NG,2021,7421,570.85,9.42,430,"BANK OF AFRICA - NIGER (BOA-NIGER) est issue d’une reprise des activités de la NIGERIA INTERNATIONAL BANK (NIB, banque affiliée à la CITIBANK) par le Groupe BANK OF AFRICA. Ouverte au public le 25 avril 1994 sous la forme de Société Anonyme avec Conseil d’Administration, elle détient actuellement un capital de 10 milliards de F CFA. BOA-NIGER fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) en décembre 2003 et est à ce jour la seule Banque nigérienne cotée en bourse. Elle affiche un total bilan de 295 milliards FCFA et un total dépôt 157 milliards FCFA pour 28 agences.",(227) 20 73 36 20/ 21 / 20 73 32 46,BANK OF AFRICA – Immeuble BANK OF AFRICA au  Niger – Rue du Gawèye BP 10973 – Niamey – Niger Niamey,Boureima Wankoye,13 000 000,70 395 MFCFA,Bank of Africa Niger,Niger,Banque
32,BOA NG,2022,9397,722.81,7.44,567,"BANK OF AFRICA - NIGER (BOA-NIGER) est issue d’une reprise des activités de la NIGERIA INTERNATIONAL BANK (NIB, banque affiliée à la CITIBANK) par le Groupe BANK OF AFRICA. Ouverte au public le 25 avril 1994 sous la forme de Société Anonyme avec Conseil d’Administration, elle détient actuellement un capital de 10 milliards de F CFA. BOA-NIGER fait son introduction à la Bourse Régionale des Valeurs Mobilières (BRVM) en décembre 2003 et est à ce jour la seule Banque nigérienne cotée en bourse. Elle affiche un total bilan de 295 milliards FCFA et un total dépôt 157 milliards FCFA pour 28 agences.",(227) 20 73 36 20/ 21 / 20 73 32 46,BANK OF AFRICA – Immeuble BANK OF AFRICA au  Niger – Rue du Gawèye BP 10973 – Niamey – Niger Niamey,Boureima Wankoye,13 000 000,70 395 MFCFA,Bank of Africa Niger,Niger,Banque
